Name,Address,Latitude,Longitude,Phone,Rating,Opening Hours
The Lifthub,"6A, Housing Estate Road (Beside Hennyplan winery), opposite First Bank Off Marian Road, 41 IBB Way, beside Vehicel Licensing Office, Akim Qua Town 540281, Calabar, Cross River, Nigeria",4.9631159,8.334875699999998,0816 041 0110,3.7,"['Monday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20097:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20097:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']"
Nb Distributor Ebony,"W8JH+MGP, Idim Ita 540281, Calabar, Cross River, Nigeria",4.9317033,8.3288249,,3.4,
Starthub Workspace,"19 Yellow Duke St, Idim Ita 540281, Calabar, Cross River, Nigeria",4.9357028,8.3276363,0908 777 0008,5,"['Monday: 8:00\u202fAM\u2009–\u20095:00\u202fAM', 'Tuesday: 8:00\u202fAM\u2009–\u20095:00\u202fAM', 'Wednesday: 8:00\u202fAM\u2009–\u20095:00\u202fAM', 'Thursday: 8:00\u202fAM\u2009–\u20095:00\u202fAM', 'Friday: 8:00\u202fAM\u2009–\u20095:00\u202fAM', 'Saturday: 9:00\u202fAM\u2009–\u20093:00\u202fAM', 'Sunday: Closed']"
Starthub — Business Developers | Tech Hub | Workspaces,"19 Yellow Duke, By Ekpo Abasi St, Calabar South 540252, Calabar, Cross River, Nigeria",4.9359018,8.32541,0908 777 0008,4.8,"['Monday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20093:00\u202fPM', 'Sunday: Closed']"
