Name,Address,Latitude,Longitude,Phone,Rating,Opening Hours
CoSpot Services,"Suite F12 TROPICANA MALL, Udo Udoma Ave, 520102, Uyo, Akwa Ibom, Nigeria",4.9985152,7.940523499999999,0903 000 1065,,
Xhub,"205 Aka Rd, 520102, Uyo, Akwa Ibom, Nigeria",5.013097799999999,7.919420899999999,0902 095 0002,3.5,"['Monday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Sunday: Closed']"
Hubitz,"69 Enwe Street, 520001, Uyo, Akwa Ibom, Nigeria",5.026847,7.9343129,0808 888 1058,4.4,"['Monday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']"
EELSPACE,"33 Ikpa Rd, 520103, Uyo, Akwa Ibom, Nigeria",5.0398467,7.922984599999999,0810 653 3922,4.5,"['Monday: 9:00\u202fAM\u2009–\u20098:00\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20098:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20098:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20098:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20098:00\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20098:00\u202fPM', 'Sunday: 9:00\u202fAM\u2009–\u20098:00\u202fPM']"
City-space plaza,"2X4C+98J, 520102, Uyo, Akwa Ibom, Nigeria",5.005973099999999,7.970763899999999,,4.5,
Gtera Hub,"41 Ikpa Rd, Aks 520271, Uyo, Akwa Ibom, Nigeria",5.041159700000001,7.922862099999998,0802 298 2877,4.5,"['Monday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Sunday: Closed']"
The Roothub Uyo,"AKEES plaza, IBB Ave, 234985, Uyo, Akwa Ibom, Nigeria",5.0146624,7.917326999999998,0809 242 7901,4.5,"['Monday: 8:00\u202fAM\u2009–\u20097:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20097:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20097:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20097:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20097:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u20095:00\u202fPM', 'Sunday: Closed']"
theBUNKer Uyo,"40 B G Bassey Ave, Ewet Housing Estate 520101, Uyo, Akwa Ibom, Nigeria",5.0157146,7.948111499999998,0913 549 8188,4.6,"['Monday: 9:00\u202fAM\u2009–\u20099:00\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20099:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20099:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20099:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20099:00\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20099:00\u202fPM', 'Sunday: Closed']"
City-space Plaza,"2X4G+C7H, 520102, Uyo, Akwa Ibom, Nigeria",5.0060539,7.975719700000001,,,
