Name,Address,Latitude,Longitude,Phone,Rating,Opening Hours
WERK_space,"Shop no. 11, WERK, 16 Lower Valley Rd, South End, Gqeberha, 6001, South Africa",-33.9681596,25.6205686,084 317 9405,4.5,"['Monday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']"
The Gridd,"130 Fordyce Road, Main Rd, Walmer, Gqeberha, 6065, South Africa",-33.9786631,25.5943727,041 587 5009,,
WERK 2.0,"17 Horton St, Port Elizabeth Central, Gqeberha, 6001, South Africa",-33.9657609,25.62305929999999,082 774 0201,4.7,"['Monday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Sunday: Closed']"
"Regus - Port Elizabeth, Harbour View","1st Floor, Harbour View Building, Oakworth Rd, South End, Gqeberha, 6001, South Africa",-33.9713287,25.6312484,041 101 1000,4.7,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']"
"Regus - Greenacres, Port Elizabeth","3rd Floor, Regus House, Fairview office park, 66 Ring Rd, Greenacres, Gqeberha, 6000, South Africa",-33.9513891,25.5762976,041 399 9400,4.5,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']"
33 Chapel Creative Workspace,"33 Winston Ntshona St, Central, Gqeberha, 6001, South Africa",-33.95995999999999,25.62024,076 174 2927,,"['Monday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']"
ServSpaces,"38 Heugh Rd, Walmer, Gqeberha, 6065, South Africa",-33.9765775,25.6085057,041 581 1903,3,
Waterfront Business Park,"1 Pommern St, Humerail, Gqeberha, 6001, South Africa",-33.9719323,25.6333627,041 501 2600,4.3,
