Name,Address,Latitude,Longitude,Phone,Rating,Opening Hours
WERK_space,"Shop no. 11, WERK, 16 Lower Valley Rd, South End, Gqeberha, 6001, South Africa",-33.9681596,25.6205686,084 317 9405,4.5,"['Monday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']"
33 Chapel Creative Workspace,"33 Winston Ntshona St, Central, Gqeberha, 6001, South Africa",-33.95995999999999,25.62024,076 174 2927,,"['Monday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']"
"Regus - Port Elizabeth, Harbour View","1st Floor, Harbour View Building, Oakworth Rd, South End, Gqeberha, 6001, South Africa",-33.9713287,25.6312484,041 101 1000,4.7,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']"
ServSpaces,"38 Heugh Rd, Walmer, Gqeberha, 6065, South Africa",-33.9765775,25.6085057,041 581 1903,3,
Greenhouse Offices,"248 Walmer Blvd, South End, Gqeberha, 6001, South Africa",-33.9738121,25.6210346,083 454 4881,4,"['Monday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']"
Solid Ensure,"510, 5th Floor, Alfin House, North End, Gqeberha, 6001, South Africa",-33.948338,25.606582,041 373 0330,,
